game_id,season,week,home_team,away_team,home_score,away_score,spread_close,total_close,home_prior_epa_sum,home_prior_plays,home_prior_epa_mean,home_rest_days,away_prior_epa_sum,away_prior_plays,away_prior_epa_mean,away_rest_days,epa_diff_prior,plays_diff_prior,rest_diff,home_margin,home_cover,is_push
2006_05_KC_ARI,2006,5,ARI,KC,20,23,-3.5,40.0,-637.4632516777958,9688.0,-0.06579926214675845,7.0,778.531288845778,9790.0,0.07952311428455343,7.0,-0.14532237643131188,-102.0,0.0,-3,0.0,False
2006_06_CHI_ARI,2006,6,ARI,CHI,23,24,-11.5,40.0,-650.8603397593062,9777.0,-0.06657055740608635,8.0,-780.3294205359682,10021.0,-0.07786941627941006,8.0,0.011298858873323714,-244.0,0.0,-1,0.0,False
2006_10_DAL_ARI,2006,10,ARI,DAL,10,27,-6.5,43.0,-709.4892339339945,10043.0,-0.0706451492516175,14.0,-488.2311197957142,10246.0,-0.04765089984342321,7.0,-0.022994249408194285,-203.0,7.0,-17,0.0,False
2006_11_DET_ARI,2006,11,ARI,DET,17,10,2.5,45.5,-718.160300827692,10120.0,-0.07096445660352688,7.0,-726.9201389024107,10051.0,-0.07232316574494187,7.0,0.0013587091414149904,69.0,0.0,7,1.0,False
2006_14_SEA_ARI,2006,14,ARI,SEA,27,21,-3.0,44.5,-702.9949512083465,10357.0,-0.06787631082440344,7.0,254.46805733145987,10961.0,0.02321577021544201,7.0,-0.09109208103984545,-604.0,0.0,6,1.0,False
2006_15_DEN_ARI,2006,15,ARI,DEN,20,37,-2.5,44.0,-699.8622850167545,10445.0,-0.06700452704803778,7.0,308.92409788418905,11299.0,0.0273408352849092,7.0,-0.09434536233294698,-854.0,0.0,-17,0.0,False
2007_02_SEA_ARI,2007,2,ARI,SEA,23,20,-3.0,42.5,-688.0057703495022,10774.0,-0.06385797014567497,6.0,259.2095206969491,11561.0,0.022421029383007447,7.0,-0.08627899952868243,-787.0,-1.0,3,,True
2007_04_PIT_ARI,2007,4,ARI,PIT,21,14,-5.5,42.5,-681.3011523647186,10935.0,-0.06230463213211876,7.0,159.1933908642375,11996.0,0.013270539418492622,7.0,-0.07557517155061139,-1061.0,0.0,7,1.0,False
2007_06_CAR_ARI,2007,6,ARI,CAR,10,25,6.0,38.5,-687.7042888745915,11114.0,-0.061877297901258906,7.0,-255.30235179801974,11564.0,-0.022077339311485623,7.0,-0.03979995858977328,-450.0,0.0,-15,0.0,False
2007_10_DET_ARI,2007,10,ARI,DET,31,21,2.0,45.0,-731.186053039779,11347.0,-0.06443871094031718,7.0,-805.9637505426152,11284.0,-0.07142535896336541,7.0,0.006986648023048228,63.0,0.0,10,1.0,False
2007_12_SF_ARI,2007,12,ARI,SF,31,37,10.0,37.5,-754.2279266949082,11516.0,-0.06549391513502155,7.0,-214.36770748471028,11729.0,-0.01827672499656495,7.0,-0.0472171901384566,-213.0,0.0,-6,1.0,False
2007_13_CLE_ARI,2007,13,ARI,CLE,27,21,1.0,52.0,-764.6375378082047,11621.0,-0.06579791221135915,7.0,-648.8158448972375,11093.0,-0.058488762723991485,7.0,-0.007309149487367668,528.0,0.0,6,1.0,False
2007_16_ATL_ARI,2007,16,ARI,ATL,30,27,11.0,44.0,-767.5633931637112,11868.0,-0.06467504155407071,7.0,-612.642848464813,11956.0,-0.05124145604422993,7.0,-0.013433585509840779,-88.0,0.0,3,1.0,False
2007_17_STL_ARI,2007,17,ARI,STL,48,19,6.0,49.5,-760.9388545790588,11974.0,-0.06354926128103046,7.0,0.0,0.0,0.0,10.0,-0.06354926128103046,11974.0,-3.0,29,1.0,False
