game_id,season,week,spread_close,total_close,home_score,away_score,home_epa_mean,away_epa_mean,epa_gap,market_prob,p_hat,edge,action,r,b_prob,pi_prob
2022_08_MIA_DET,2022,8,-3.5,52.0,27,31,,,0.0,0.3620022469104981,0.3510434623685277,-0.010958784541970412,0,-0.0,0.5186031873810417,0.528096458478745
2022_08_ARI_MIN,2022,8,4.0,48.5,34,26,,,0.0,0.648330451760112,0.6222113424844588,-0.026119109275653196,0,0.0,0.4960323877709504,0.4979510209739907
2022_08_LV_NO,2022,8,-1.0,48.5,24,0,,,0.0,0.4694332504501415,0.4435487607214721,-0.025884489728669413,0,0.0,0.4963802434799308,0.49841522042560477
2022_08_NE_NYJ,2022,8,-3.0,40.0,17,22,,,0.0,0.4066985645933014,0.38775286095639006,-0.018945703636911337,0,-0.0,0.5066902515643805,0.5121809637049125
2022_08_PIT_PHI,2022,8,11.0,43.0,35,13,,,0.0,0.8049780187088884,0.8254849191488807,0.02050690043999226,0,0.0,0.05,0.05
2022_08_TEN_HOU,2022,8,-1.0,39.0,10,17,,,0.0,0.4782028469750889,0.46023710650192223,-0.01796574047316668,0,-0.0,0.5081495348116898,0.5141302450214553
2022_08_WAS_IND,2022,8,3.0,40.5,16,17,,,0.0,0.5867360379346681,0.6012187140471523,0.014482676112484216,1,0.9099999999999999,0.5567236088532558,0.5789329934115618
2022_08_SF_LA,2022,8,-1.0,42.0,14,31,,,0.0,0.5023229882921391,0.4549556563805722,-0.047367331911566835,0,-0.0,0.4647886400890772,0.4563829059865028
2022_08_NYG_SEA,2022,8,3.0,44.5,27,13,,,0.0,0.6054283493752615,0.5943972438939793,-0.011031105481282166,0,0.0,0.5184951351923263,0.527952096010127
2022_08_GB_BUF,2022,8,10.5,47.0,27,17,,,0.0,0.7915272066558287,0.8104621807054556,0.018934974049626963,0,0.0,0.05,0.05
2022_08_CIN_CLE,2022,8,-3.0,45.0,32,13,,,0.0,0.3951262751461066,0.3793676891449569,-0.01575858600114971,0,0.0,0.5114388469835491,0.5185245044540909
2022_09_PHI_HOU,2022,9,-14.0,45.5,17,29,,,0.0,0.15167045527612727,0.10984198645394597,-0.0418284688221813,0,-0.0,0.05,0.05
2022_09_LAC_ATL,2022,9,-2.5,49.5,17,20,,,0.0,0.4248994579471935,0.38898521350951143,-0.0359142444376821,0,-0.0,0.48156091979146004,0.478661582030787
2022_09_MIA_CHI,2022,9,-4.0,46.0,32,35,,,0.0,0.35820822534109253,0.34423695307427044,-0.013971272266822099,0,-0.0,0.514104948523715,0.5220865086944038
2022_09_CAR_CIN,2022,9,7.0,43.0,42,21,,,0.0,0.7457857050170459,0.7257939809267642,-0.019991724090281715,0,0.0,0.5051334215066337,0.510101561826024
2022_09_GB_DET,2022,9,-4.0,49.5,15,9,,,0.0,0.36072889550018594,0.3386547571931334,-0.022074138307052515,0,0.0,0.5020367279488661,0.5059660975166139
2022_09_LV_JAX,2022,9,-2.5,47.5,27,20,,,0.0,0.45110708376014497,0.3923621505157015,-0.058744933244443465,0,0.0,0.44832010562289404,0.434625837518397
2022_09_IND_NE,2022,9,5.0,40.0,26,3,,,0.0,0.6618106139438085,0.6691579051511486,0.007347291207340123,1,0.9099999999999999,0.5460210208092611,0.5646903531928432
2022_09_BUF_NYJ,2022,9,-11.0,46.0,20,17,,,0.0,0.19386422976501305,0.15969856088928655,-0.0341656688757265,0,-0.0,0.05,0.05
2022_09_MIN_WAS,2022,9,-3.0,43.5,17,20,,,0.0,0.38806099337843886,0.38187593783080215,-0.006185055547636709,0,-0.0,0.5257414776809575,0.5376324121137034
2022_09_SEA_ARI,2022,9,1.5,49.5,21,31,,,0.0,0.5480494766888678,0.5322037387989534,-0.01584573788991439,0,-0.0,0.5113088993231898,0.5183508952292464
2022_09_LA_TB,2022,9,3.0,43.0,16,13,,,0.0,0.5971016303329377,0.5969597201091895,-0.0001419102237482095,0,0.0,0.5347918272371339,0.5497161795829875
